article_id,author,category,is_read,link,pub_date,title
AKR20260522098100003,"김민지",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522098100003,1779487261000,"주유소 기름값 8주만에 하락…전국 평균 휘발윳값 2천11원대"
AKR20260522112000030,"구정모",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522112000030,1779487204000,"[금주핫템] 에스트라 '아토베리어365' 신제품·스노우피크 어패럴 반바지"
AKR20260522048100030,"김세린",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522048100030,1779487203000,"[신상잇슈] 오뚜기 '칡냉면·쫄냉면'·삼립 하이면 '막국수' 2종"
AKR20260522130700003,"오진송",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522130700003,1779483601000,"[부동산캘린더] 내주 서울 아크로리버스카이 등 7천8가구 분양"
AKR20260522158000004,"윤민혁",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522158000004,1779483300000,"검열망 뚫으며 카타르시스…스벅 탱크데이 '기호학적 테러'"
AKR20260523005900072,"김연숙",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523005900072,1779479750000,"국제유가, 미·이란 협상지연 우려에 상승…브렌트유 0.9%↑"
AKR20260523003700072,"이지헌",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523003700072,1779473471000,"'워시의 연준' 트럼프 기대에도 금리인하 단행 어려울듯"
AKR20260523003300002,"경제부",ECONOMY,0,https://www.yna.co.kr/view/AKR20260523003300002,1779471446000,"달러-원, 연준 금리 인상 가능성에 상승폭 약간 확대…1,517.40원 마감"
AKR20260522058453530,"고유선",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522058453530,1779453823000,"공무원노조도 동참…스타벅스 불매 공직사회 전반 확산(종합3보)"
AKR20260522158300002,"강수련",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522158300002,1779450169000,"국민성장펀드 출시 첫날 한도 87% 소진…은행 10곳 중 7곳 완판"
AKR20260522154751030,"한주홍",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522154751030,1779449888000,"스타벅스 ""현장 직원 비난 멈춰달라""…전국 매장에 2차 사과문(종합)"
AKR20260522154700030,"김세린",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522154700030,1779447145000,"스타벅스 ""현장 직원 비난 멈춰달라""…전국 매장에 2차 사과문"
AKR20260522151700002,"강수련",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522151700002,1779446816000,"DB손보, 미국 보험사 포테그라 인수 마무리 단계…국내 최초"
AKR20260522035452003,"서미숙",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522035452003,1779442761000,"비아파트 공급 대폭 확대…""규제지역 매입임대 무제한으로 산다""(종합2보)"
AKR20260522141501054,"장덕종",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522141501054,1779442161000,"전남광주 통합특별시 1금고 첫 운영기관 '농협은행'(종합)"
AKR20260522147300008,"증권부",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522147300008,1779441776000,"아모텍, 350억원 주주배정 유상증자 결정"
AKR20260522042652008,"이민영",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522042652008,1779441745000,"[특징주] 美정부, 양자컴퓨팅 기업 지분투자에 관련株 급등(종합2보)"
AKR20260522144200008,"황철환",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522144200008,1779441717000,"李대통령 ""경제 대도약 위해 자본시장 글로벌 경쟁력 플랫폼으로 키울것"""
AKR20260522146000504,"김지헌",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522146000504,1779440848000,"외교부 ""아프리카, 잠재적 원유 생산·수출 역량…협력 모색"""
AKR20260522135700011,"한미희",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522135700011,1779440400000,"[연합뉴스 이 시각 헤드라인] - 18:00"
AKR20260522141500054,"장덕종",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522141500054,1779439583000,"전남광주통합시 1금고 첫 운영기관 '농협은행'"
AKR20260522140100008,"이민영",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522140100008,1779439544000,"'삼전·닉스 단일종목 레버리지·인버스' 18종 27일 상장"
AKR20260522141800008,"증권부",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522141800008,1779439255000,"티이엠씨 ""에이텍솔루션 주식 350억원어치 취득…지분율 31.2%"""
AKR20260522140200008,"증권부",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522140200008,1779439225000,"오에스피, 10억원 제3자배정 유상증자"
AKR20260522140600371,"강성철",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522140600371,1779439159000,"[동포의 창] 미주한상총연, 8월 라스베이거스서 '미주 한상대회'"
AKR20260522138300008,"황철환",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522138300008,1779438838000,"삼성전기, LG엔솔 제치고 시총 5위…급등장에 시총 '대전'"
AKR20260522137600063,"김소연",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522137600063,1779438703000,"젠틀몬스터, 블루엘리펀트 파우치 디자인등록 무효심판 승소"
AKR20260521168851030,"구정모",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260521168851030,1779438694000,"소상공단체, 쿠팡이츠 한시 무료배달 확대에 ""수수료 노예 전락""(종합)"
AKR20260522128151008,"고은지",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522128151008,1779438512000,"국고채 금리, 외인 순매수에 동반 하락…3년물 연 3.736%(종합)"
AKR20260522058452530,"홍준석",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522058452530,1779438296000,"공무원노조도 동참…스타벅스 불매 공직사회 전반 확산(종합2보)"
AKR20260522136500052,"김선경",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522136500052,1779438068000,"BNK경남은행, 창립 56주년 기념식…""고객 가치 최우선"""
AKR20260522134500017,"신선미",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522134500017,1779437741000,"릴리 창립 150년…""AI도입·파트너십 확대로 혁신 지속"""
AKR20260522130000008,"김유향",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522130000008,1779437322000,"코스피200 DB하이텍 포함되고, GS건설 빠진다…4개종목 맞교체"
AKR20260522129200002,"이도흔",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522129200002,1779437123000,"인터넷은행 3사, 1분기 중·저신용자 신용대출 목표치 넘겨"
AKR20260522127800003,"오진송",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522127800003,1779436922000,"[게시판] 한국부동산경영학회 23일 '부동산 산업 대전환' 학술세미나"
AKR20260522122700003,"홍규빈",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522122700003,1779436848000,"경총 손경식, ILO 사무총장 만나 ""성과급 요구 확산 우려"""
AKR20260522067800030,"한주홍",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522067800030,1779436801000,"농식품부, 식자재마트서 양파 '1+1' 행사…출하 정지·수출 병행"
AKR20260522126200008,"이민영",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522126200008,1779435981000,"다올증권 ""최근 코스피 수급, 대만과 유사…'1만피' 가능"""
AKR20260522121100003,"임기창",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522121100003,1779435916000,"대우건설도 성수4지구 입찰보증금 완납…'2파전' 재개"
AKR20260522057951030,"김수현",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522057951030,1779435712000,"소비자단체협의회 ""스타벅스, 충전액 조건 없이 전액 환불해야""(종합)"
AKR20260522128100008,"증권부",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522128100008,1779435666000,"국고채 금리 일제히 하락…3년물 연 3.736%"
AKR20260522121300008,"김유아",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522121300008,1779435631000,"코스피, 0.41% 오른 7,847로 마감…코스닥 4.99% 급등(종합)"
AKR20260522064351008,"황철환",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522064351008,1779434522000,"첫날 '완판' 국민성장펀드 기대감? 코스닥 날았다(종합)"
AKR20260522112951002,"한지훈",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522112951002,1779433673000,"환율, 장중 1,520원 근접…당국 ""필요시 단호 조치""(종합)"
AKR20260522035051008,"황철환",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522035051008,1779433518000,"[특징주] 삼전, 숨고르기…'30만전자' 터치후 2% 하락마감(종합)"
AKR20260522118000002,"임지우",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522118000002,1779433440000,"외환당국, 환율 구두개입…""필요시 단호 조치"""
AKR20260522052900003,"조성흠",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522052900003,1779433205000,"대한상의-한국남부발전, 탄소중립 이행·에너지전환 촉진 '맞손'"
AKR20260522114700003,"오진송",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522114700003,1779432705000,"주택관리사협회 ""관리비 개선 취지 공감…업계 매도 우려"""
AKR20260522113600003,"임기창",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522113600003,1779432609000,"[동정] 김이탁 국토1차관, 2기 '안심전세 꼼꼼이' 위촉장 수여"
AKR20260522112900002,"김수현",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522112900002,1779432543000,"환율, 엔화 약세·유가 상승에 장중 1,520원 근접…한 달 반만에 최고"
AKR20260522044051002,"임지우",ECONOMY,0,https://www.yna.co.kr/view/AKR20260522044051002,1779432300000,"국민참여성장펀드 가입 열기…주요 은행·증권사 물량 첫날 매진(종합)"
AKR20260522111500062,"임보연",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522111500062,1779432200000,"원주시, '찾아가는 산업단지 구인구직 해피데이' 성료"
AKR20260522040151008,"김유향",INDUSTRY,0,https://www.yna.co.kr/view/AKR20260522040151008,1779432030000,"[특징주] 알루미늄 관련주, '중동발 생산차질'에 강세…삼아알미늄 16%↑(종합)"
